trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
137,False,"{'a': 0.5, 'e': 1.0}",25,0,-13.22944585263921,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
138,False,"{'a': 0.5, 'e': 1.0}",30,0,-35.38173142649753,"{0: 18, 1: 12, 2: 0, 3: 0, 4: 0}",0
139,False,"{'a': 0.5, 'e': 1.0}",25,0,-32.622758549417455,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
140,False,"{'a': 0.5, 'e': 1.0}",30,0,-18.258938504248153,"{0: 20, 1: 10, 2: 0, 3: 0, 4: 0}",0
141,False,"{'a': 0.5, 'e': 1.0}",20,0,-14.668878077571962,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
142,False,"{'a': 0.5, 'e': 1.0}",20,0,-30.201435247370537,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
143,False,"{'a': 0.5, 'e': 1.0}",20,0,-30.892262756987325,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
144,False,"{'a': 0.5, 'e': 1.0}",20,0,-29.747843650440572,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
145,False,"{'a': 0.5, 'e': 1.0}",25,0,-35.044609914054156,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
146,False,"{'a': 0.5, 'e': 1.0}",20,0,-40.97506118151524,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
147,False,"{'a': 0.5, 'e': 1.0}",25,0,-28.9092729528963,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
148,False,"{'a': 0.5, 'e': 1.0}",20,0,-9.573663526638438,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
149,False,"{'a': 0.5, 'e': 1.0}",20,0,-32.76729034860755,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
150,False,"{'a': 0.5, 'e': 1.0}",20,0,-42.72570383081574,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
151,False,"{'a': 0.5, 'e': 1.0}",20,0,-12.072231786675692,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
152,False,"{'a': 0.5, 'e': 1.0}",20,0,-22.201491971119765,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
153,False,"{'a': 0.5, 'e': 1.0}",25,0,-16.779055008881286,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
